# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,monogastric_protein_mt_dm,ruminant_protein_mt_dm,ruminant_roughage_mt_dm
AFG,0.0,0.662827,6.396201
AGO,0.0,0.0,0.921706
ARE,0.0,0.0,1.420038
ARM,0.0,0.0,0.922057
ATG,0.0,0.0,0.001203
AUS,0.070665,0.358525,0.0
AZE,0.0,0.0,1.662357
BFA,0.0,0.0,2.424819
BGD,0.0,0.0,9.323274
BHS,0.0,0.0,0.000241
BOL,0.0,0.0,3.079534
BRA,0.0,0.0,3.789062
BRB,0.0,0.0,0.001186
BRN,0.030088,0.002684,0.098271
BTN,0.0,0.0,0.032205
BWA,0.0,0.0,0.801548
CAF,0.0,0.0,3.139111
CHL,0.0,0.0,1.159961
CHN,36.636604,8.937976,0.0
CMR,0.0,0.0,2.066831
COG,0.0,0.0,0.101918
COL,0.0,0.0,4.970007
COM,0.0,0.0,0.023564
CPV,0.0,0.0,0.014816
CRI,0.0,0.0,0.477516
CUB,0.0,0.0,0.474619
CYP,0.0,0.0,0.026106
DJI,0.0,0.0,0.253119
DOM,0.0,0.0,0.733529
DZA,0.0,0.0,6.986687
ECU,0.0,0.0,0.999478
EGY,0.0,0.0,7.620932
ERI,0.0,0.0,0.647088
ETH,0.0,0.0,3.690289
FJI,0.024814,0.000463,0.0
GEO,0.0,0.0,0.295198
GNB,0.0,0.0,0.082731
GRD,0.0,0.0,0.003329
GTM,0.0,0.0,0.901076
HND,0.0,0.0,0.341193
HTI,0.0,0.0,0.566936
IDN,3.2087,2.778974,0.0
IND,0.0,0.0,289.03186
IRL,0.0,0.0,0.339502
ISL,0.0,0.0,0.030581
ISR,0.0,0.0,1.114146
JAM,0.0,0.0,0.181489
JOR,0.0,0.0,0.909003
JPN,1.871344,1.221458,1.328452
KEN,0.0,0.0,8.594836
KGZ,0.0,0.145125,0.0
KHM,0.068465,0.208704,0.0
KOR,2.76357,0.374992,2.659726
LAO,0.090547,0.071492,0.0
LBN,0.0,0.0,0.255603
LBY,0.0,0.0,0.793866
LKA,0.038788,0.18201,0.0
LSO,0.0,0.0,0.092898
MAR,0.0,0.0,5.582377
MEX,0.0,0.0,2.590309
MLT,0.0,0.0,0.002164
MMR,0.0,0.461155,0.0
MNE,0.0,0.0,0.002311
MNG,0.0,0.002186,15.401712
MRT,0.0,0.0,2.102427
MYS,0.788346,0.24535,0.234748
NAM,0.0,0.0,0.700566
NER,0.0,0.0,1.710052
NIC,0.0,0.0,1.29114
NLD,0.0,0.0,0.127665
NPL,0.0,0.0,15.811893
NZL,0.169604,1.103938,0.0
OMN,0.0,0.0,1.601246
PAK,0.0,8.092603,166.691833
PAN,0.0,0.0,0.335598
PER,0.0,0.0,0.808195
PHL,1.6037,0.297524,0.0
PRI,0.0,0.0,0.093587
PRY,0.0,0.0,0.130072
PSE,0.0,0.0,0.253437
RWA,0.0,0.0,0.379596
SAU,0.0,0.0,3.205631
SDN,0.0,0.0,11.691299
SEN,0.0,0.0,0.879997
SOM,0.0,0.0,5.321395
SSD,0.0,0.0,3.618346
STP,0.0,0.0,0.002251
SWZ,0.0,0.0,0.169131
SYR,0.0,0.0,1.266636
TCD,0.0,0.0,25.904709
THA,1.97743,0.336465,0.0
TJK,0.0,0.368936,0.245753
TKM,0.0,0.0,0.692459
TLS,0.010043,0.01037,0.067068
TTO,0.0,0.0,0.00687
TUN,0.0,0.0,1.232322
TUR,0.0,0.0,1.617232
TWN,1.28607,0.00074,0.0
TZA,0.0,0.0,9.70183
UGA,0.0,0.0,3.548997
URY,0.0,0.0,2.438507
VEN,0.0,0.0,3.760523
YEM,0.0,0.0,3.182977
ZAF,0.0,0.0,5.453259
ZMB,0.0,0.0,2.947526
ZWE,0.0,0.0,10.745438
